,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years
130,Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,2.03,106.6,$6500000,USA,2014,1,2,Duke,25
131,Bobby Portis,78,#1,New York Knicks,F-C,02/10/95,2.08,111.6,$15000000,USA,2015,1,22,Arkansas,25
132,Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,1.85,86.2,$19894737,USA,2015,1,16,Louisville,26
133,Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,$15500000,Germany,2013,1,17,,27
134,Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,1.91,82.1,$19000000,USA,2009,1,19,Wake Forest,32
135,Derrick White,78,#4,San Antonio Spurs,G,07/02/94,1.93,90.7,$1948080,USA,2017,1,29,Colorado,26
136,Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,1.98,100.7,$13000000,USA,2015,1,10,Duke,24
137,Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,$6400920,USA,2019,1,5,Vanderbilt,20
138,De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,2.01,102.1,$7068360,USA,2019,1,4,Virginia,23
139,Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/90,2.03,97.5,$9258000,Nigeria,2010,1,8,Wake Forest,30
140,Mo Bamba,77,#5,Orlando Magic,C,05/12/98,2.13,102.1,$5697600,USA,2018,1,6,Texas,22
141,Nicolas Batum,77,#5,Charlotte Hornets,F-G,12/14/88,2.06,95.3,$25565217,France,2008,1,25,,32
142,Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/96,1.93,89.8,$2731713,USA,2016,1,19,Florida State,24
143,Nemanja Bjelica,77,#88,Sacramento Kings,F-G,05/09/88,2.08,101.6,$6825000,Serbia,2010,2,35,,32
144,DeMarre Carroll,77,#0,Houston Rockets,F,07/27/86,1.98,96.2,$7339258,USA,2009,1,27,Missouri,34
145,Ed Davis,77,#17,Utah Jazz,F,06/05/89,2.06,97.5,$4767000,USA,2010,1,13,North Carolina,31
146,Taj Gibson,77,#67,New York Knicks,F,06/24/85,2.06,102.1,$9000000,USA,2009,1,26,USC,35
147,Jerami Grant,77,#9,Denver Nuggets,F,03/12/94,2.03,97.1,$9346153,USA,2014,2,39,Syracuse,26
148,Danny Green,77,#14,Los Angeles Lakers,G,06/22/87,1.98,94.8,$14634147,USA,2009,2,46,North Carolina,33
149,Tim Hardaway Jr,77,#11,Dallas Mavericks,G,03/16/92,1.96,90.3,$20025127,USA,2013,1,24,Michigan,28
150,Alex Len,77,#0,Sacramento Kings,C,06/16/93,2.13,102.1,$4160000,Ukraine,2013,1,5,Maryland,27
151,Kevon Looney,77,#5,Golden State Warriors,F,02/06/96,2.06,100.7,$4464286,USA,2015,1,30,UCLA,24
152,Monte Morris,77,#11,Denver Nuggets,G,06/27/95,1.88,79.4,$1588231,USA,2017,2,51,Iowa State,25
153,Nerlens Noel,77,#9,Oklahoma City Thunder,F-C,04/10/94,2.08,93.4,$1882867,USA,2013,1,6,Kentucky,26
154,Mason Plumlee,77,#24,Denver Nuggets,C-F,03/05/90,2.11,108.0,$14041096,USA,2013,1,22,Duke,30
155,Jakob Poeltl,77,#25,San Antonio Spurs,C-F,10/15/95,2.16,108.4,$3754885,Austria,2016,1,9,Utah,25
156,Dwight Powell,77,#7,Dallas Mavericks,F-C,07/20/91,2.08,106.1,$10259375,Canada,2014,2,45,Stanford,29
157,Taurean Prince,77,#2,Brooklyn Nets,F,03/22/94,2.01,99.8,$3481985,USA,2016,1,12,Baylor,26
158,Dario Saric,77,#20,Phoenix Suns,F,04/08/94,2.08,98.0,$3481985,Croatia,2014,1,12,,26
159,Collin Sexton,77,#2,Cleveland Cavaliers,G,01/04/99,1.85,86.2,$4764960,USA,2018,1,8,Alabama,21
160,Dennis Smith,77,#5,New York Knicks,G,11/25/97,1.88,88.5,$4463640,USA,2017,1,9,NC State,23
161,Cody Zeller,77,#40,Charlotte Hornets,C-F,10/05/92,2.13,104.3,$14471910,USA,2013,1,4,Indiana,28
162,Ivica Zubac,77,#40,Los Angeles Clippers,C,03/18/97,2.13,120.2,$6481482,Croatia,2016,2,32,,23
163,Jarrett Culver,77,#23,Minnesota Timberwolves,G,02/20/99,1.98,88.5,$5813640,USA,2019,1,6,Texas Tech,21
